datetime,device_name,frequency,humidity,latitude,longitude,network,pm2_5,pm2_5_calibrated_value,site_name,temperature
2026-01-20 03:00:00+00:00,airqo_g5341,hourly,,0.333948,32.565109,airqo,51.22,,Makerere University Weather Station 94,21.215
2026-01-20 03:00:00+00:00,aq_g501,hourly,0,0,0,airqo,35.02,35.02,Makerere University Weather Station 94,0
2026-01-20 04:00:00+00:00,airqo_g5341,hourly,98.96,0.333948,32.565109,airqo,37.49,37.49,Makerere University Weather Station 94,21.896
2026-01-20 04:00:00+00:00,aq_g501,hourly,0,0,0,airqo,33.64,33.64,Makerere University Weather Station 94,0
2026-01-20 05:00:00+00:00,airqo_g5341,hourly,98.415,0.329383,32.568016,airqo,29.33,29.33,Makerere University Weather Station 94,23.52
2026-01-20 05:00:00+00:00,aq_g501,hourly,0,0,0,airqo,26.22,26.22,Makerere University Weather Station 94,0
2026-01-20 06:00:00+00:00,airqo_g5341,hourly,94.39714286,0.331479429,32.56460743,airqo,14.96,14.96,Makerere University Weather Station 94,24.29857143
2026-01-20 06:00:00+00:00,aq_g501,hourly,0,0,0,airqo,19.25,19.25,Makerere University Weather Station 94,0
2026-01-20 07:00:00+00:00,airqo_g5341,hourly,87.93428571,0.332318,32.563244,airqo,13.24,13.24,Makerere University Weather Station 94,26.04142857
2026-01-20 07:00:00+00:00,aq_g501,hourly,0,0,0,airqo,17.43,17.43,Makerere University Weather Station 94,0
2026-01-20 08:00:00+00:00,airqo_g5341,hourly,67.38142857,0.332936286,32.56632857,airqo,18.72,18.72,Makerere University Weather Station 94,31.10714286
2026-01-20 08:00:00+00:00,aq_g501,hourly,0,0,0,airqo,19.96,19.96,Makerere University Weather Station 94,0
2026-01-20 09:00:00+00:00,airqo_g5341,hourly,65.51833333,0.3334,32.568642,airqo,21.54,21.54,Makerere University Weather Station 94,30.99
2026-01-20 09:00:00+00:00,aq_g501,hourly,0,0,0,airqo,20.48,20.48,Makerere University Weather Station 94,0
2026-01-20 10:00:00+00:00,aq_g501,hourly,0,0,0,airqo,18.06,18.06,Makerere University Weather Station 94,0
2026-01-20 10:00:00+00:00,airqo_g5341,hourly,61.695,0.3334,32.568642,airqo,15.73,15.73,Makerere University Weather Station 94,31.97333333
2026-01-20 11:00:00+00:00,aq_g501,hourly,0,0,0,airqo,21.05,21.05,Makerere University Weather Station 94,0
2026-01-20 11:00:00+00:00,airqo_g5341,hourly,59.49571429,0.3334,32.568642,airqo,18.08,18.08,Makerere University Weather Station 94,31.75142857
2026-01-20 12:00:00+00:00,aq_g501,hourly,0,0,0,airqo,22.23,22.23,Makerere University Weather Station 94,0
2026-01-20 12:00:00+00:00,airqo_g5341,hourly,62.91285714,0.333469286,32.56854129,airqo,22.65,22.65,Makerere University Weather Station 94,30.00428571
2026-01-20 13:00:00+00:00,aq_g501,hourly,0,0,0,airqo,23.25,23.25,Makerere University Weather Station 94,0
2026-01-20 13:00:00+00:00,airqo_g5341,hourly,64.62857143,0.334778,32.569424,airqo,21.91,21.91,Makerere University Weather Station 94,30.01428571
2026-01-20 14:00:00+00:00,airqo_g5341,hourly,62.79333333,0.334778,32.569424,airqo,23.8,23.8,Makerere University Weather Station 94,31.73333333
2026-01-20 14:00:00+00:00,aq_g501,hourly,0,0,0,airqo,22.14,22.14,Makerere University Weather Station 94,0
2026-01-26 05:00:00+00:00,aq_g501,hourly,0,0,0,airqo,85.7,85.7,Makerere University Weather Station 94,0
2026-01-26 06:00:00+00:00,aq_g501,hourly,0,0,0,airqo,54.71,54.71,Makerere University Weather Station 94,0
2026-01-26 06:00:00+00:00,airqo_g5341,hourly,77.42,0.333558,32.568539,airqo,35.69,35.69,Makerere University Weather Station 94,29.54
2026-01-26 07:00:00+00:00,aq_g501,hourly,0,0,0,airqo,10.81,10.81,Makerere University Weather Station 94,0
2026-01-26 07:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,21.83,21.83,Makerere University Weather Station 94,
2026-01-26 07:00:00+00:00,airqo_g5341,hourly,77.42,0.333558,32.568539,airqo,17.32,17.32,Makerere University Weather Station 94,29.54
2026-01-26 08:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,17.31,17.31,Makerere University Weather Station 94,
2026-01-26 08:00:00+00:00,aq_g501,hourly,0,0,0,airqo,9.11,9.11,Makerere University Weather Station 94,0
2026-01-26 09:00:00+00:00,aq_g501,hourly,0,0,0,airqo,7.67,7.67,Makerere University Weather Station 94,0
2026-01-26 09:00:00+00:00,airqo_g5341,hourly,56.71,0.333547,32.568569,airqo,21.15,21.15,Makerere University Weather Station 94,34.1
2026-01-26 09:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,15.84,15.84,Makerere University Weather Station 94,
2026-01-26 10:00:00+00:00,airqo_g5341,hourly,58.28142857,0.333547,32.568569,airqo,16.74,16.74,Makerere University Weather Station 94,32.23285714
2026-01-26 10:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,16.62,16.62,Makerere University Weather Station 94,
2026-01-26 10:00:00+00:00,aq_g501,hourly,0,0,0,airqo,15.67,15.67,Makerere University Weather Station 94,0
2026-01-26 11:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,14.99,14.99,Makerere University Weather Station 94,
2026-01-26 11:00:00+00:00,aq_g501,hourly,0,0,0,airqo,13.39,13.39,Makerere University Weather Station 94,0
2026-01-26 11:00:00+00:00,airqo_g5341,hourly,73.604,0.33357,32.568691,airqo,18.73,18.73,Makerere University Weather Station 94,28.75
2026-01-26 12:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,15.2,15.2,Makerere University Weather Station 94,
2026-01-26 12:00:00+00:00,aq_g501,hourly,0,0,0,airqo,10.11,10.11,Makerere University Weather Station 94,0
2026-01-26 12:00:00+00:00,airqo_g5341,hourly,76.11,0.33357,32.568691,airqo,14,14,Makerere University Weather Station 94,27.96714286
2026-01-26 13:00:00+00:00,airqo_g5341,hourly,72.97428571,0.333548286,32.568663,airqo,16.82,16.82,Makerere University Weather Station 94,29.29142857
2026-01-26 13:00:00+00:00,aq_g501,hourly,0,0,0,airqo,9.05,9.05,Makerere University Weather Station 94,0
2026-01-26 13:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,14.95,14.95,Makerere University Weather Station 94,
2026-01-26 14:00:00+00:00,aq_g501,hourly,0,0,0,airqo,7.63,7.63,Makerere University Weather Station 94,0
2026-01-26 14:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,14.61,14.61,Makerere University Weather Station 94,
